UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Martadinata;KC Bandung AA;KC Bandung Dewi Sartika;KC Bandung Dago
10-Jan; 679 ; 717 ; 965 ; 1.144 ; 665 ; 916 ; 1.214 ; 859 ; 1.227 ; 965 ; 647 ; 956 ; 1.335 ; 910 ; 944 ; 726 ; 841 ; 1.136 ; 957 ; 763 ; 911 ; 439 ; 402 ; 324 ; 343 ; 425 ; 414 ; 0,00 ; 271,00 ; 367,00 ;  
11-Jan; 678 ; 711 ; 962 ; 1.142 ; 663 ; 913 ; 1.210 ; 856 ; 1.224 ; 961 ; 644 ; 953 ; 1.329 ; 907 ; 941 ; 724 ; 839 ; 1.131 ; 955 ; 761 ; 908 ; 437 ; 400 ; 322 ; 342 ; 423 ; 413 ; 0,00 ; 269,00 ; 365,00 ;  
12-Jan; 677 ; 708 ; 963 ; 1.144 ; 662 ; 914 ; 1.209 ; 852 ; 1.226 ; 963 ; 644 ; 958 ; 1.330 ; 907 ; 945 ; 724 ; 836 ; 1.131 ; 953 ; 755 ; 908 ; 437 ; 401 ; 322 ; 342 ; 426 ; 413 ; 0,00 ; 273,00 ; 365,00 ;  
13-Jan; 677 ; 705 ; 959 ; 1.139 ; 655 ; 914 ; 1.211 ; 854 ; 1.224 ; 962 ; 641 ; 956 ; 1.325 ; 905 ; 943 ; 724 ; 832 ; 1.129 ; 949 ; 751 ; 906 ; 436 ; 400 ; 322 ; 343 ; 424 ; 412 ; 0,00 ; 264,00 ; 364,00 ;   
14-Jan; 679 ; 709 ; 957 ; 1.139 ; 655 ; 913 ; 1.213 ; 853 ; 1.224 ; 963 ; 643 ; 954 ; 1.324 ; 904 ; 941 ; 721 ; 834 ; 1.129 ; 947 ; 751 ; 907 ; 434 ; 401 ; 324 ; 342 ; 423 ; 412 ; 0,00 ; 265,00 ; 365,00 ; 
15-Jan; 680 ; 713 ; 959 ; 1.143 ; 659 ; 917 ; 1.213 ; 852 ; 1.228 ; 963 ; 641 ; 952 ; 1.324 ; 904 ; 941 ; 722 ; 836 ; 1.131 ; 950 ; 749 ; 908 ; 435 ; 402 ; 326 ; 342 ; 423 ; 413 ; 0,00 ; 265,00 ; 364,00 ;
16-Jan; 675 ; 708 ; 953 ; 1.138 ; 656 ; 911 ; 1.206 ; 848 ; 1.220 ; 960 ; 638 ; 948 ; 1.315 ; 898 ; 935 ; 716 ; 832 ; 1.125 ; 943 ; 746 ; 900 ; 433 ; 400 ; 325 ; 339 ; 420 ; 411 ; 0,00 ; 265,00 ; 362,00 ;
17-Jan; 672 ; 705 ; 949 ; 1.134 ; 653 ; 911 ; 1.202 ; 850 ; 1.217 ; 955 ; 641 ; 947 ; 1.316 ; 895 ; 937 ; 714 ; 830 ; 1.122 ; 943 ; 745 ; 898 ; 431 ; 397 ; 323 ; 338 ; 420 ; 409 ; 0,00 ; 263,00 ; 361,00 ;
18-Jan; 669 ; 704 ; 945 ; 1.130 ; 650 ; 908 ; 1.197 ; 848 ; 1.214 ; 952 ; 638 ; 943 ; 1.311 ; 894 ; 932 ; 712 ; 828 ; 1.116 ; 939 ; 743 ; 894 ; 430 ; 395 ; 321 ; 336 ; 419 ; 408 ; 0,00 ; 263,00 ; 361,00 ;
19-Jan; 668 ; 700 ; 946 ; 1.129 ; 645 ; 910 ; 1.198 ; 846 ; 1.215 ; 951 ; 637 ; 948 ; 1.314 ; 897 ; 934 ; 710 ; 828 ; 1.113 ; 941 ; 744 ; 896 ; 430 ; 394 ; 322 ; 339 ; 419 ; 409 ; 0,00 ; 264,00 ; 360,00 ;
20-Jan; 665 ; 695 ; 946 ; 1.127 ; 642 ; 907 ; 1.194 ; 845 ; 1.210 ; 950 ; 633 ; 942 ; 1.303 ; 892 ; 933 ; 709 ; 825 ; 1.109 ; 934 ; 740 ; 893 ; 429 ; 395 ; 322 ; 339 ; 417 ; 405 ; 0,00 ; 261,00 ; 360,00 ;
21-Jan; 661 ; 695 ; 945 ; 1.128 ; 641 ; 906 ; 1.194 ; 841 ; 1.210 ; 948 ; 633 ; 942 ; 1.304 ; 891 ; 930 ; 707 ; 829 ; 1.108 ; 930 ; 742 ; 892 ; 428 ; 395 ; 323 ; 338 ; 417 ; 405 ; 0,00 ; 247,00 ; 356,00 ; 
