UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
11-Dec;CASA; 425 ; 304 ; 509 ; 239 ; 280 ; 481 ; 289 ; 435 ; 393 ; 993 ; 311 ; 552 ; 574 ; 282 ; 280 ; 368 ; 419 ; 797 ; 425 ; 324 ; 270 ; 513 ; 970 ; 964 ; 483 ; 755 ; 479 ; 695 ; 439 ; 1.354 
12-Dec;CASA; 426 ; 302 ; 513 ; 237 ; 280 ; 487 ; 291 ; 430 ; 396 ; 982 ; 310 ; 552 ; 579 ; 284 ; 279 ; 366 ; 417 ; 804 ; 427 ; 321 ; 270 ; 505 ; 969 ; 955 ; 485 ; 757 ; 484 ; 696 ; 453 ; 1.367 
13-Dec;CASA; 422 ; 299 ; 508 ; 244 ; 280 ; 483 ; 293 ; 429 ; 396 ; 984 ; 309 ; 557 ; 577 ; 284 ; 279 ; 366 ; 417 ; 799 ; 427 ; 320 ; 269 ; 507 ; 968 ; 957 ; 482 ; 752 ; 497 ; 696 ; 452 ; 1.363 
14-Dec;CASA; 421 ; 295 ; 514 ; 241 ; 279 ; 482 ; 292 ; 428 ; 397 ; 983 ; 310 ; 559 ; 573 ; 283 ; 278 ; 365 ; 417 ; 796 ; 426 ; 321 ; 269 ; 511 ; 969 ; 958 ; 479 ; 751 ; 504 ; 698 ; 454 ; 1.363 
15-Dec;CASA; 434 ; 300 ; 512 ; 247 ; 281 ; 487 ; 333 ; 436 ; 396 ; 966 ; 314 ; 542 ; 615 ; 287 ; 284 ; 376 ; 418 ; 806 ; 433 ; 326 ; 277 ; 502 ; 900 ; 970 ; 484 ; 749 ; 531 ; 694 ; 458 ; 1.357 
16-Dec;CASA; 436 ; 296 ; 515 ; 246 ; 276 ; 435 ; 340 ; 446 ; 394 ; 972 ; 312 ; 547 ; 613 ; 284 ; 281 ; 379 ; 417 ; 805 ; 427 ; 323 ; 278 ; 510 ; 907 ; 951 ; 482 ; 761 ; 504 ; 699 ; 444 ; 1.373 
17-Dec;CASA; 425 ; 297 ; 524 ; 250 ; 283 ; 436 ; 337 ; 443 ; 394 ; 958 ; 308 ; 538 ; 609 ; 283 ; 279 ; 379 ; 415 ; 804 ; 436 ; 321 ; 276 ; 507 ; 897 ; 945 ; 492 ; 760 ; 504 ; 697 ; 447 ; 1.379 
18-Dec;CASA; 428 ; 306 ; 523 ; 246 ; 279 ; 436 ; 341 ; 438 ; 396 ; 956 ; 305 ; 535 ; 608 ; 286 ; 272 ; 384 ; 417 ; 802 ; 435 ; 316 ; 274 ; 509 ; 888 ; 948 ; 498 ; 766 ; 491 ; 702 ; 466 ; 1.324 
19-Dec;CASA; 430 ; 301 ; 518 ; 254 ; 281 ; 435 ; 341 ; 443 ; 394 ; 957 ; 310 ; 540 ; 605 ; 285 ; 274 ; 375 ; 416 ; 862 ; 434 ; 316 ; 281 ; 536 ; 894 ; 949 ; 491 ; 774 ; 484 ; 710 ; 463 ; 1.309 
20-Dec;CASA; 426 ; 297 ; 513 ; 251 ; 280 ; 432 ; 341 ; 440 ; 395 ; 952 ; 310 ; 541 ; 600 ; 279 ; 274 ; 375 ; 417 ; 856 ; 433 ; 316 ; 282 ; 537 ; 893 ; 951 ; 489 ; 769 ; 493 ; 707 ; 471 ; 1.310 
21-Dec;CASA; 425 ; 297 ; 510 ; 250 ; 279 ; 432 ; 340 ; 439 ; 395 ; 952 ; 310 ; 541 ; 601 ; 277 ; 273 ; 375 ; 417 ; 853 ; 433 ; 316 ; 281 ; 541 ; 894 ; 953 ; 488 ; 762 ; 500 ; 708 ; 475 ; 1.306 
22-Dec;CASA; 435 ; 298 ; 519 ; 244 ; 298 ; 430 ; 337 ; 434 ; 395 ; 967 ; 307 ; 524 ; 604 ; 271 ; 271 ; 363 ; 419 ; 791 ; 433 ; 320 ; 280 ; 541 ; 897 ; 965 ; 492 ; 769 ; 515 ; 695 ; 477 ; 1.280 
23-Dec;CASA; 442 ; 307 ; 522 ; 232 ; 296 ; 434 ; 329 ; 435 ; 392 ; 962 ; 302 ; 542 ; 571 ; 272 ; 269 ; 357 ; 419 ; 793 ; 437 ; 336 ; 272 ; 543 ; 901 ; 946 ; 497 ; 756 ; 486 ; 654 ; 465 ; 1.286 
24-Dec;CASA; 452 ; 331 ; 542 ; 238 ; 297 ; 437 ; 337 ; 437 ; 385 ; 971 ; 309 ; 551 ; 574 ; 274 ; 274 ; 358 ; 418 ; 788 ; 444 ; 340 ; 279 ; 552 ; 878 ; 1.003 ; 503 ; 764 ; 489 ; 695 ; 473 ; 1.322 
25-Dec;CASA; 449 ; 329 ; 539 ; 237 ; 293 ; 436 ; 336 ; 437 ; 384 ; 969 ; 309 ; 550 ; 573 ; 271 ; 271 ; 355 ; 417 ; 784 ; 438 ; 335 ; 274 ; 551 ; 879 ; 1.009 ; 502 ; 760 ; 500 ; 702 ; 474 ; 1.316 
