UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
11-May;DPK; 546 ; 508 ; 616 ; 292 ; 379 ; 481 ; 361 ; 534 ; 533 ; 1724 ; 450 ; 655 ; 688 ; 311 ; 338 ; 426 ; 473 ; 1272 ; 680 ; 407 ; 478 ; 782 ; 1307 ; 1441 ; 673 ; 931 ; 1197 ; 1106 ; 853 ; 1733 
12-May;DPK; 551 ; 504 ; 616 ; 295 ; 381 ; 484 ; 358 ; 530 ; 537 ; 1722 ; 450 ; 642 ; 683 ; 313 ; 340 ; 429 ; 475 ; 1266 ; 674 ; 402 ; 479 ; 786 ; 1310 ; 1426 ; 677 ; 920 ; 1171 ; 1102 ; 830 ; 1709 
13-May;DPK; 562 ; 504 ; 624 ; 293 ; 368 ; 492 ; 360 ; 525 ; 539 ; 1659 ; 455 ; 665 ; 691 ; 312 ; 343 ; 431 ; 490 ; 1259 ; 682 ; 399 ; 322 ; 800 ; 1305 ; 1414 ; 675 ; 925 ; 1204 ; 1134 ; 867 ; 1715 
14-May;DPK; 561 ; 503 ; 628 ; 295 ; 367 ; 489 ; 358 ; 526 ; 537 ; 1654 ; 453 ; 666 ; 694 ; 313 ; 338 ; 429 ; 489 ; 1254 ; 679 ; 397 ; 320 ; 799 ; 1303 ; 1416 ; 673 ; 923 ; 1207 ; 1135 ; 868 ; 1712 
15-May;DPK; 559 ; 500 ; 625 ; 291 ; 361 ; 488 ; 353 ; 526 ; 531 ; 1658 ; 452 ; 671 ; 689 ; 311 ; 335 ; 421 ; 489 ; 1256 ; 675 ; 396 ; 319 ; 801 ; 1306 ; 1419 ; 672 ; 918 ; 1209 ; 1139 ; 867 ; 1709 
16-May;DPK; 557 ; 499 ; 621 ; 291 ; 364 ; 486 ; 355 ; 524 ; 528 ; 1654 ; 450 ; 673 ; 688 ; 312 ; 339 ; 420 ; 487 ; 1253 ; 675 ; 398 ; 321 ; 804 ; 1303 ; 1422 ; 671 ; 918 ; 1216 ; 1138 ; 868 ; 1709 
17-May;DPK; 555 ; 497 ; 617 ; 290 ; 365 ; 485 ; 356 ; 525 ; 529 ; 1658 ; 449 ; 677 ; 690 ; 310 ; 342 ; 419 ; 487 ; 1251 ; 675 ; 399 ; 320 ; 807 ; 1301 ; 1425 ; 670 ; 915 ; 1220 ; 1139 ; 870 ; 1707 
18-May;DPK; 562 ; 500 ; 612 ; 285 ; 363 ; 488 ; 356 ; 515 ; 526 ; 1646 ; 448 ; 654 ; 683 ; 308 ; 342 ; 421 ; 466 ; 1239 ; 584 ; 398 ; 316 ; 795 ; 1292 ; 1422 ; 665 ; 921 ; 1130 ; 1109 ; 908 ; 1710 
19-May;DPK; 548 ; 499 ; 608 ; 296 ; 364 ; 490 ; 351 ; 527 ; 523 ; 1570 ; 442 ; 656 ; 681 ; 307 ; 346 ; 419 ; 467 ; 1243 ; 585 ; 392 ; 315 ; 786 ; 1289 ; 1445 ; 666 ; 917 ; 1110 ; 1110 ; 911 ; 1704 
20-May;DPK; 547 ; 499 ; 596 ; 298 ; 359 ; 485 ; 349 ; 528 ; 520 ; 1.565 ; 445 ; 652 ; 678 ; 313 ; 346 ; 428 ; 463 ; 1.239 ; 615 ; 391 ; 314 ; 797 ; 1.288 ; 1.439 ; 679 ; 907 ; 1.095 ; 1.118 ; 877 ; 1.682 
