UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
19-Feb;TAB; 274 ; 249 ; 410 ; 209 ; 219 ; 358 ; 221 ; 326 ; 332 ; 844 ; 242 ; 431 ; 461 ; 206 ; 207 ; 254 ; 324 ; 679 ; 381 ; 275 ; 244 ; 377 ; 700 ; 861 ; 371 ; 549 ; 366 ; 523 ; 312 ; 976 
20-Feb;TAB; 275 ; 247 ; 403 ; 209 ; 221 ; 357 ; 220 ; 332 ; 330 ; 854 ; 241 ; 431 ; 463 ; 212 ; 207 ; 252 ; 343 ; 678 ; 381 ; 277 ; 251 ; 377 ; 712 ; 859 ; 391 ; 556 ; 444 ; 528 ; 316 ; 982 
21-Feb;TAB; 273 ; 247 ; 402 ; 209 ; 218 ; 355 ; 220 ; 328 ; 329 ; 853 ; 241 ; 431 ; 461 ; 210 ; 207 ; 251 ; 341 ; 675 ; 378 ; 276 ; 248 ; 376 ; 708 ; 857 ; 389 ; 557 ; 443 ; 526 ; 314 ; 979 
22-Feb;TAB; 272 ; 245 ; 401 ; 211 ; 217 ; 353 ; 215 ; 326 ; 329 ; 852 ; 241 ; 433 ; 460 ; 211 ; 206 ; 251 ; 340 ; 674 ; 376 ; 275 ; 244 ; 378 ; 707 ; 858 ; 388 ; 551 ; 443 ; 526 ; 313 ; 978 
23-Feb;TAB; 270 ; 242 ; 403 ; 216 ; 216 ; 353 ; 216 ; 326 ; 326 ; 856 ; 241 ; 426 ; 460 ; 202 ; 215 ; 250 ; 331 ; 681 ; 373 ; 275 ; 246 ; 374 ; 693 ; 855 ; 380 ; 559 ; 366 ; 519 ; 311 ; 965 
24-Feb;TAB; 268 ; 241 ; 405 ; 219 ; 215 ; 352 ; 215 ; 331 ; 325 ; 862 ; 239 ; 426 ; 466 ; 207 ; 215 ; 246 ; 335 ; 676 ; 374 ; 270 ; 246 ; 373 ; 688 ; 850 ; 387 ; 567 ; 364 ; 510 ; 310 ; 959 
25-Feb;TAB; 273 ; 249 ; 408 ; 218 ; 212 ; 351 ; 217 ; 339 ; 323 ; 854 ; 238 ; 423 ; 472 ; 208 ; 208 ; 247 ; 337 ; 682 ; 383 ; 271 ; 244 ; 379 ; 690 ; 849 ; 389 ; 582 ; 367 ; 525 ; 461 ; 979 
26-Feb;TAB; 277 ; 248 ; 420 ; 218 ; 211 ; 355 ; 216 ; 326 ; 331 ; 856 ; 236 ; 415 ; 470 ; 207 ; 209 ; 249 ; 336 ; 707 ; 379 ; 274 ; 243 ; 387 ; 690 ; 851 ; 400 ; 590 ; 369 ; 533 ; 485 ; 1059 
27-Feb;TAB; 283 ; 267 ; 421 ; 212 ; 208 ; 366 ; 225 ; 363 ; 346 ; 884 ; 244 ; 423 ; 471 ; 210 ; 212 ; 257 ; 394 ; 730 ; 414 ; 284 ; 252 ; 515 ; 809 ; 890 ; 412 ; 597 ; 384 ; 639 ; 573 ; 1120 
28-Feb;TAB; 280 ; 271 ; 423 ; 210 ; 205 ; 368 ; 224 ; 365 ; 348 ; 889 ; 248 ; 432 ; 473 ; 210 ; 214 ; 264 ; 393 ; 730 ; 430 ; 289 ; 257 ; 517 ; 807 ; 957 ; 405 ; 587 ; 395 ; 638 ; 574 ; 1104 
01-Mar;TAB; 282 ; 272 ; 436 ; 216 ; 207 ; 373 ; 232 ; 363 ; 335 ; 888 ; 247 ; 431 ; 482 ; 215 ; 214 ; 263 ; 346 ; 721 ; 397 ; 292 ; 249 ; 516 ; 835 ; 893 ; 412 ; 587 ; 442 ; 620 ; 495 ; 1083 
02-Mar;TAB; 282 ; 272 ; 436 ; 216 ; 207 ; 373 ; 232 ; 363 ; 335 ; 888 ; 247 ; 431 ; 482 ; 215 ; 214 ; 263 ; 346 ; 721 ; 397 ; 292 ; 249 ; 516 ; 835 ; 893 ; 412 ; 587 ; 442 ; 620 ; 495 ; 1083 
03-Mar;TAB; 281 ; 272 ; 429 ; 221 ; 204 ; 352 ; 235 ; 362 ; 317 ; 885 ; 239 ; 429 ; 483 ; 215 ; 210 ; 251 ; 343 ; 721 ; 387 ; 279 ; 247 ; 435 ; 839 ; 898 ; 409 ; 582 ; 445 ; 577 ; 493 ; 1069 
