UKER;;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
13-Jan;DEPO; 92 ; 72 ; 113 ; 51 ; 70 ; 75 ; 48 ; 117 ; 131 ; 413 ; 143 ; 75 ; 151 ; 32 ; 50 ; 80 ; 72 ; 476 ; 155 ; 92 ; 56 ; 234 ; 315 ; 336 ; 237 ; 176 ; 496 ; 345 ; 162 ; 332 
14-Jan;DEPO; 92 ; 72 ; 113 ; 51 ; 70 ; 75 ; 48 ; 117 ; 130 ; 412 ; 143 ; 75 ; 151 ; 32 ; 49 ; 80 ; 73 ; 476 ; 155 ; 92 ; 56 ; 234 ; 315 ; 336 ; 236 ; 176 ; 496 ; 344 ; 162 ; 332 
15-Jan;DEPO; 91 ; 72 ; 113 ; 51 ; 70 ; 75 ; 48 ; 117 ; 130 ; 413 ; 143 ; 75 ; 151 ; 32 ; 49 ; 80 ; 72 ; 475 ; 155 ; 92 ; 57 ; 204 ; 315 ; 336 ; 236 ; 176 ; 496 ; 346 ; 163 ; 332 
16-Jan;DEPO; 91 ; 72 ; 113 ; 51 ; 70 ; 75 ; 48 ; 117 ; 130 ; 413 ; 143 ; 75 ; 151 ; 32 ; 49 ; 80 ; 72 ; 475 ; 155 ; 92 ; 56 ; 204 ; 315 ; 336 ; 236 ; 176 ; 496 ; 346 ; 163 ; 332 
17-Jan;DEPO; 91 ; 72 ; 113 ; 51 ; 70 ; 75 ; 48 ; 117 ; 130 ; 413 ; 143 ; 75 ; 151 ; 32 ; 49 ; 80 ; 73 ; 475 ; 154 ; 92 ; 56 ; 203 ; 315 ; 336 ; 236 ; 176 ; 496 ; 346 ; 162 ; 332 
18-Jan;DEPO; 91 ; 72 ; 113 ; 50 ; 66 ; 75 ; 48 ; 117 ; 130 ; 413 ; 143 ; 75 ; 151 ; 32 ; 49 ; 80 ; 72 ; 475 ; 154 ; 92 ; 56 ; 203 ; 315 ; 336 ; 236 ; 176 ; 496 ; 345 ; 163 ; 332
19-Jan;DEPO; 91 ; 71 ; 113 ; 51 ; 66 ; 75 ; 48 ; 117 ; 131 ; 411 ; 143 ; 75 ; 150 ; 32 ; 49 ; 79 ; 72 ; 475 ; 154 ; 92 ; 56 ; 203 ; 317 ; 336 ; 237 ; 177 ; 500 ; 346 ; 162 ; 367 
20-Jan;DEPO; 91 ; 71 ; 113 ; 50 ; 66 ; 74 ; 48 ; 117 ; 131 ; 411 ; 143 ; 75 ; 150 ; 32 ; 49 ; 79 ; 72 ; 474 ; 159 ; 92 ; 56 ; 204 ; 317 ; 335 ; 237 ; 177 ; 535 ; 346 ; 162 ; 367 
21-Jan;DEPO; 91 ; 71 ; 112 ; 52 ; 66 ; 74 ; 48 ; 117 ; 131 ; 412 ; 143 ; 74 ; 150 ; 32 ; 49 ; 79 ; 71 ; 474 ; 159 ; 92 ; 56 ; 205 ; 317 ; 336 ; 237 ; 178 ; 535 ; 349 ; 162 ; 367 
22-Jan;DEPO; 91 ; 72 ; 112 ; 52 ; 66 ; 75 ; 48 ; 117 ; 132 ; 415 ; 143 ; 74 ; 150 ; 32 ; 49 ; 78 ; 72 ; 474 ; 159 ; 92 ; 56 ; 205 ; 327 ; 324 ; 237 ; 178 ; 535 ; 347 ; 165 ; 367 
24-Jan;DEPO; 91 ; 71 ; 112 ; 51 ; 66 ; 75 ; 49 ; 117 ; 132 ; 418 ; 142 ; 75 ; 151 ; 32 ; 49 ; 78 ; 72 ; 474 ; 159 ; 91 ; 56 ; 202 ; 327 ; 324 ; 236 ; 179 ; 535 ; 348 ; 165 ; 359 
