NAMA UKER;KCP Telkom Bandung;KCP Batununggal;KCP Cicurug;KCP Summarecon Bandung;KCP Taman Kopo Indah;KCP Otto Iskandardinata;KCP Cijerah;KCP Cipanas;KCP Weru;KCP Cimindi;KCP ITB;KCP Taman Kopo Indah II;KCP BRI Jatinangor;KCP Ciledug Cirebon;KCP Suci;KCP Trade Center;KCP Riau;KCP Banjaran;KCP Patrol;KCP Pangandaran;KCP Surade;KCP Cikajang;KCP Pelabuhan Ratu;KCP Sumber;KCP Sumber Sari;KCP Ciranjang;KCP Antapani;KCP Rancaekek;KCP Setrasari;KCP Lembang;KCP Ciawi Tasikmalaya;KCP Rajawali Bandung;KCP Sukanagara;KCP Padalarang
21-Feb; 106,05 ; 30,79 ; 30,89 ; 41,40 ; 12,39 ; 10,31 ; 4,73 ; 7,85 ; 30,23 ; 12,31 ; 62,55 ; 6,58 ; 8,79 ; 5,38 ; 15,91 ; 9,91 ; 14,63 ; 9,77 ; 6,65 ; 2,65 ; 1,47 ; 7,70 ; 23,18 ; 2,59 ; 6,91 ; 2,56 ; 6,53 ; 2,76 ; 16,96 ; 8,92 ; 4,26 ; 12,23 ; 1,08 ; 9,42 
22-Feb; 106,07 ; 30,89 ; 30,95 ; 41,52 ; 12,43 ; 10,59 ; 4,77 ; 8,63 ; 29,94 ; 12,39 ; 62,57 ; 6,65 ; 10,45 ; 5,61 ; 15,87 ; 9,91 ; 15,20 ; 9,80 ; 6,70 ; 2,68 ; 1,48 ; 7,82 ; 23,26 ; 2,60 ; 7,04 ; 2,62 ; 6,59 ; 2,88 ; 16,99 ; 9,01 ; 4,26 ; 12,61 ; 1,10 ; 9,43 
23-Feb; 106,79 ; 32,89 ; 32,28 ; 42,19 ; 12,46 ; 10,15 ; 5,38 ; 8,73 ; 28,55 ; 12,27 ; 62,65 ; 6,57 ; 11,36 ; 5,50 ; 16,04 ; 9,25 ; 12,80 ; 10,24 ; 7,43 ; 2,78 ; 1,78 ; 7,20 ; 24,37 ; 2,81 ; 7,27 ; 2,75 ; 6,66 ; 2,41 ; 16,42 ; 8,93 ; 4,53 ; 13,11 ; 1,05 ; 9,48 
24-Feb; 107,02 ; 35,11 ; 35,15 ; 43,01 ; 12,62 ; 10,37 ; 5,01 ; 8,30 ; 28,90 ; 12,33 ; 64,28 ; 6,85 ; 11,09 ; 5,65 ; 15,33 ; 9,67 ; 13,55 ; 9,78 ; 7,77 ; 2,69 ; 1,48 ; 6,66 ; 27,63 ; 2,82 ; 6,83 ; 2,85 ; 6,34 ; 2,66 ; 16,62 ; 8,48 ; 4,32 ; 11,62 ; 0,96 ; 9,30 
25-Feb; 106,65 ; 22,60 ; 35,16 ; 40,88 ; 12,60 ; 10,39 ; 5,17 ; 9,16 ; 28,12 ; 13,85 ; 64,35 ; 7,12 ; 10,19 ; 5,95 ; 15,38 ; 9,79 ; 13,70 ; 9,70 ; 5,75 ; 2,68 ; 2,35 ; 6,93 ; 27,30 ; 2,73 ; 6,92 ; 2,90 ; 6,45 ; 2,73 ; 16,07 ; 7,63 ; 4,45 ; 11,81 ; 0,95 ; 8,89 
26-Feb; 106,67 ; 24,57 ; 34,73 ; 41,33 ; 12,53 ; 9,76 ; 5,28 ; 9,59 ; 28,82 ; 14,01 ; 65,46 ; 7,46 ; 10,52 ; 5,84 ; 15,48 ; 9,27 ; 15,18 ; 9,99 ; 5,70 ; 2,68 ; 2,06 ; 7,49 ; 23,64 ; 2,72 ; 7,47 ; 2,51 ; 6,46 ; 2,85 ; 15,51 ; 7,25 ; 4,79 ; 12,26 ; 1,07 ; 8,71 
27-Feb; 109,55 ; 19,58 ; 34,88 ; 41,42 ; 12,51 ; 3,49 ; 5,70 ; 9,43 ; 28,65 ; 14,05 ; 59,11 ; 7,65 ; 10,93 ; 5,63 ; 14,67 ; 12,53 ; 15,55 ; 10,11 ; 4,50 ; 2,91 ; 2,26 ; 7,47 ; 24,43 ; 4,25 ; 5,12 ; 2,90 ; 6,49 ; 2,53 ; 14,69 ; 6,99 ; 5,30 ; 12,50 ; 1,18 ; 7,70 
28-Feb; 109,18 ; 20,57 ; 35,12 ; 40,58 ; 12,47 ; 3,51 ; 6,27 ; 9,77 ; 30,42 ; 14,03 ; 59,01 ; 7,95 ; 11,96 ; 5,86 ; 14,79 ; 12,47 ; 17,21 ; 10,12 ; 5,23 ; 2,66 ; 2,31 ; 7,51 ; 24,50 ; 4,19 ; 5,87 ; 3,87 ; 6,22 ; 3,10 ; 16,64 ; 7,06 ; 5,51 ; 12,82 ; 1,37 ; 7,87 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-Mar; 109,33 ; 23,08 ; 35,96 ; 41,02 ; 12,56 ; 3,43 ; 5,82 ; 7,46 ; 29,79 ; 12,66 ; 76,24 ; 9,09 ; 9,48 ; 5,93 ; 14,99 ; 10,58 ; 11,91 ; 9,68 ; 5,32 ; 2,53 ; 2,00 ; 5,49 ; 24,93 ; 4,33 ; 10,75 ; 4,29 ; 6,35 ; 2,46 ; 14,98 ; 6,86 ; 4,73 ; 14,39 ; 1,23 ; 7,80 
03-Mar; 109,22 ; 18,63 ; 36,89 ; 41,23 ; 12,42 ; 4,16 ; 5,03 ; 6,59 ; 27,66 ; 12,64 ; 76,08 ; 8,96 ; 9,02 ; 6,22 ; 15,43 ; 8,69 ; 11,35 ; 9,58 ; 5,08 ; 2,56 ; 1,75 ; 6,27 ; 27,88 ; 4,64 ; 10,02 ; 4,02 ; 7,56 ; 3,26 ; 16,15 ; 6,79 ; 4,34 ; 14,74 ; 1,21 ; 8,12 
04-Mar; 109,06 ; 21,08 ; 38,51 ; 38,19 ; 5,35 ; 4,56 ; 5,21 ; 7,32 ; 28,65 ; 12,74 ; 77,01 ; 9,29 ; 9,19 ; 5,63 ; 15,17 ; 8,58 ; 11,66 ; 9,48 ; 5,43 ; 2,40 ; 1,73 ; 6,31 ; 11,89 ; 4,71 ; 10,90 ; 4,07 ; 6,41 ; 2,72 ; 15,69 ; 6,52 ; 4,07 ; 14,09 ; 1,26 ; 6,10 
