UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
07-Jan;GIRO; 165 ; 86 ; 74 ; 27 ; 67 ; 37 ; 96 ; 92 ; 59 ; 198 ; 49 ; 96 ; 93 ; 71 ; 56 ; 54 ; 83 ; 76 ; 43 ; 66 ; 16 ; 176 ; 136 ; 193 ; 87 ; 210 ; 64 ; 100 ; 100 ; 242 
08-Jan;GIRO; 167 ; 89 ; 70 ; 28 ; 84 ; 39 ; 97 ; 91 ; 63 ; 200 ; 46 ; 99 ; 94 ; 71 ; 57 ; 54 ; 85 ; 68 ; 36 ; 60 ; 15 ; 164 ; 142 ; 180 ; 88 ; 217 ; 64 ; 90 ; 93 ; 244 
09-Jan;GIRO; 160 ; 82 ; 69 ; 30 ; 70 ; 38 ; 96 ; 91 ; 53 ; 185 ; 46 ; 100 ; 102 ; 71 ; 58 ; 53 ; 83 ; 70 ; 36 ; 60 ; 15 ; 160 ; 141 ; 174 ; 88 ; 216 ; 64 ; 89 ; 91 ; 246 
10-Jan;GIRO; 159 ; 83 ; 70 ; 30 ; 67 ; 40 ; 95 ; 92 ; 53 ; 188 ; 47 ; 102 ; 101 ; 71 ; 58 ; 52 ; 85 ; 70 ; 35 ; 60 ; 16 ; 164 ; 142 ; 178 ; 88 ; 206 ; 65 ; 89 ; 93 ; 248 
11-Jan;GIRO; 160 ; 84 ; 71 ; 30 ; 68 ; 41 ; 96 ; 93 ; 53 ; 190 ; 48 ; 102 ; 101 ; 71 ; 59 ; 53 ; 86 ; 71 ; 36 ; 60 ; 16 ; 169 ; 148 ; 181 ; 89 ; 208 ; 65 ; 91 ; 95 ; 252 
12-Jan;GIRO; 165 ; 123 ; 68 ; 33 ; 71 ; 42 ; 95 ; 87 ; 53 ; 191 ; 48 ; 93 ; 103 ; 72 ; 60 ; 49 ; 84 ; 74 ; 37 ; 58 ; 17 ; 121 ; 154 ; 179 ; 88 ; 213 ; 62 ; 89 ; 107 ; 253 
13-Jan;GIRO; 166 ; 123 ; 69 ; 32 ; 70 ; 47 ; 96 ; 86 ; 56 ; 194 ; 46 ; 93 ; 105 ; 71 ; 56 ; 49 ; 82 ; 70 ; 40 ; 57 ; 15 ; 114 ; 160 ; 192 ; 86 ; 216 ; 61 ; 87 ; 97 ; 251 
14-Jan;GIRO; 165 ; 120 ; 69 ; 30 ; 69 ; 48 ; 94 ; 90 ; 58 ; 188 ; 46 ; 93 ; 106 ; 71 ; 60 ; 50 ; 80 ; 71 ; 39 ; 57 ; 15 ; 102 ; 164 ; 174 ; 84 ; 215 ; 60 ; 84 ; 92 ; 259 
15-Jan;GIRO; 172 ; 118 ; 68 ; 30 ; 68 ; 48 ; 96 ; 86 ; 53 ; 178 ; 46 ; 96 ; 107 ; 67 ; 55 ; 52 ; 80 ; 72 ; 39 ; 75 ; 15 ; 107 ; 169 ; 164 ; 83 ; 228 ; 58 ; 85 ; 94 ; 246 
16-Jan;GIRO; 171 ; 119 ; 69 ; 29 ; 67 ; 48 ; 95 ; 87 ; 53 ; 180 ; 46 ; 97 ; 107 ; 67 ; 56 ; 52 ; 81 ; 73 ; 39 ; 75 ; 16 ; 111 ; 167 ; 165 ; 83 ; 227 ; 61 ; 85 ; 97 ; 249 
17-Jan;GIRO; 173 ; 120 ; 70 ; 29 ; 67 ; 48 ; 96 ; 88 ; 54 ; 184 ; 47 ; 97 ; 108 ; 67 ; 56 ; 51 ; 84 ; 73 ; 38 ; 76 ; 15 ; 115 ; 169 ; 170 ; 83 ; 216 ; 61 ; 87 ; 101 ; 250 
18-Jan;GIRO; 172 ; 121 ; 71 ; 29 ; 68 ; 48 ; 96 ; 87 ; 54 ; 186 ; 47 ; 99 ; 108 ; 68 ; 56 ; 52 ; 85 ; 73 ; 38 ; 76 ; 15 ; 119 ; 171 ; 172 ; 83 ; 212 ; 61 ; 89 ; 104 ; 251 
19-Jan;GIRO; 184 ; 117 ; 70 ; 30 ; 68 ; 50 ; 96 ; 87 ; 54 ; 189 ; 47 ; 93 ; 102 ; 71 ; 58 ; 51 ; 83 ; 75 ; 39 ; 73 ; 14 ; 109 ; 173 ; 171 ; 85 ; 209 ; 68 ; 92 ; 106 ; 244 
20-Jan;GIRO; 173 ; 117 ; 69 ; 24 ; 69 ; 49 ; 96 ; 87 ; 58 ; 188 ; 47 ; 95 ; 103 ; 71 ; 60 ; 51 ; 80 ; 72 ; 36 ; 70 ; 15 ; 114 ; 178 ; 173 ; 82 ; 216 ; 63 ; 93 ; 106 ; 240 
21-Jan;GIRO; 169 ; 123 ; 73 ; 26 ; 60 ; 48 ; 94 ; 86 ; 54 ; 196 ; 45 ; 99 ; 101 ; 70 ; 58 ; 52 ; 87 ; 67 ; 39 ; 69 ; 15 ; 122 ; 173 ; 168 ; 80 ; 222 ; 63 ; 95 ; 101 ; 242 
22-Jan;GIRO; 165 ; 121 ; 70 ; 31 ; 67 ; 49 ; 95 ; 82 ; 52 ; 195 ; 48 ; 103 ; 100 ; 77 ; 54 ; 53 ; 85 ; 68 ; 38 ; 65 ; 15 ; 112 ; 175 ; 181 ; 81 ; 262 ; 59 ; 95 ; 103 ; 245 
23-Jan;GIRO; 159 ; 117 ; 70 ; 29 ; 61 ; 47 ; 94 ; 77 ; 54 ; 205 ; 46 ; 106 ; 104 ; 75 ; 62 ; 49 ; 86 ; 69 ; 41 ; 76 ; 17 ; 109 ; 173 ; 180 ; 79 ; 253 ; 59 ; 112 ; 89 ; 232 
24-Jan;GIRO; 159 ; 117 ; 70 ; 29 ; 62 ; 48 ; 95 ; 76 ; 55 ; 206 ; 47 ; 108 ; 103 ; 71 ; 63 ; 49 ; 87 ; 70 ; 38 ; 76 ; 17 ; 111 ; 175 ; 182 ; 80 ; 255 ; 59 ; 112 ; 87 ; 230 
25-Jan;GIRO; 159 ; 117 ; 70 ; 29 ; 62 ; 48 ; 95 ; 76 ; 55 ; 207 ; 47 ; 109 ; 104 ; 71 ; 63 ; 50 ; 88 ; 70 ; 38 ; 76 ; 17 ; 114 ; 176 ; 183 ; 80 ; 248 ; 60 ; 113 ; 89 ; 229 
26-Jan;GIRO; 162 ; 130 ; 67 ; 30 ; 90 ; 53 ; 95 ; 73 ; 57 ; 210 ; 48 ; 96 ; 103 ; 68 ; 61 ; 41 ; 86 ; 75 ; 41 ; 79 ; 16 ; 101 ; 188 ; 165 ; 79 ; 265 ; 61 ; 113 ; 88 ; 240 
27-Jan;GIRO; 163 ; 129 ; 68 ; 26 ; 88 ; 53 ; 94 ; 71 ; 63 ; 205 ; 48 ; 97 ; 99 ; 68 ; 62 ; 41 ; 84 ; 79 ; 41 ; 75 ; 17 ; 103 ; 182 ; 162 ; 78 ; 212 ; 61 ; 100 ; 90 ; 247 
28-Jan;GIRO; 155 ; 141 ; 71 ; 26 ; 89 ; 50 ; 95 ; 74 ; 63 ; 211 ; 52 ; 93 ; 98 ; 66 ; 64 ; 40 ; 82 ; 72 ; 39 ; 75 ; 16 ; 100 ; 183 ; 225 ; 78 ; 211 ; 59 ; 101 ; 89 ; 245 
29-Jan;GIRO; 171 ; 141 ; 69 ; 25 ; 83 ; 51 ; 97 ; 71 ; 60 ; 211 ; 55 ; 105 ; 98 ; 71 ; 54 ; 38 ; 83 ; 71 ; 39 ; 74 ; 15 ; 100 ; 184 ; 212 ; 77 ; 213 ; 63 ; 111 ; 98 ; 247 
30-Jan;GIRO; 198 ; 142 ; 73 ; 32 ; 99 ; 50 ; 98 ; 71 ; 68 ; 205 ; 56 ; 106 ; 107 ; 72 ; 58 ; 38 ; 89 ; 95 ; 40 ; 71 ; 15 ; 111 ; 196 ; 263 ; 78 ; 207 ; 70 ; 123 ; 100 ; 262 
31-Jan;GIRO; 197 ; 144 ; 73 ; 38 ; 100 ; 50 ; 99 ; 71 ; 74 ; 209 ; 52 ; 107 ; 120 ; 71 ; 61 ; 41 ; 92 ; 92 ; 44 ; 70 ; 16 ; 112 ; 191 ; 266 ; 78 ; 212 ; 72 ; 126 ; 148 ; 261 
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
