UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
10-Jan;DPK; 538 ; 414 ; 560 ; 291 ; 358 ; 346 ; 387 ; 358 ; 526 ; 1.219 ; 454 ; 557 ; 685 ; 314 ; 234 ; 277 ; 445 ; 996 ; 422 ; 344 ; 277 ; 526 ; 1.084 ; 1.091 ; 515 ; 792 ; 723 ; 803 ; 465 ; 1.521 
11-Jan;DPK; 538 ; 413 ; 557 ; 293 ; 357 ; 345 ; 387 ; 358 ; 526 ; 1.218 ; 456 ; 556 ; 683 ; 314 ; 234 ; 278 ; 447 ; 993 ; 422 ; 344 ; 276 ; 530 ; 1.088 ; 1.094 ; 515 ; 790 ; 723 ; 803 ; 466 ; 1.523 
12-Jan;DPK; 539 ; 457 ; 554 ; 296 ; 362 ; 346 ; 382 ; 356 ; 517 ; 1.219 ; 456 ; 543 ; 680 ; 315 ; 232 ; 279 ; 444 ; 991 ; 412 ; 345 ; 277 ; 481 ; 1.095 ; 1.114 ; 516 ; 797 ; 718 ; 807 ; 479 ; 1.515 
13-Jan;DPK; 538 ; 453 ; 552 ; 296 ; 362 ; 356 ; 379 ; 363 ; 517 ; 1.221 ; 453 ; 538 ; 681 ; 320 ; 227 ; 277 ; 441 ; 985 ; 419 ; 340 ; 272 ; 473 ; 1.102 ; 1.124 ; 511 ; 806 ; 691 ; 796 ; 470 ; 1.513 
14-Jan;DPK; 536 ; 450 ; 545 ; 291 ; 362 ; 356 ; 375 ; 370 ; 521 ; 1.216 ; 449 ; 539 ; 681 ; 319 ; 229 ; 279 ; 440 ; 985 ; 418 ; 337 ; 272 ; 457 ; 1.105 ; 1.133 ; 509 ; 801 ; 692 ; 791 ; 460 ; 1.518 
15-Jan;DPK; 546 ; 452 ; 547 ; 296 ; 356 ; 355 ; 376 ; 367 ; 517 ; 1.210 ; 451 ; 546 ; 679 ; 313 ; 225 ; 279 ; 437 ; 985 ; 391 ; 358 ; 272 ; 434 ; 1.113 ; 1.123 ; 514 ; 814 ; 691 ; 785 ; 456 ; 1.503 
16-Jan;DPK; 544 ; 452 ; 545 ; 293 ; 354 ; 352 ; 376 ; 367 ; 516 ; 1.211 ; 452 ; 545 ; 678 ; 310 ; 226 ; 278 ; 436 ; 985 ; 390 ; 359 ; 271 ; 435 ; 1.108 ; 1.125 ; 512 ; 810 ; 693 ; 783 ; 458 ; 1.503 
17-Jan;DPK; 543 ; 452 ; 542 ; 289 ; 354 ; 351 ; 375 ; 368 ; 517 ; 1.213 ; 450 ; 548 ; 677 ; 308 ; 224 ; 278 ; 440 ; 981 ; 389 ; 360 ; 271 ; 438 ; 1.108 ; 1.129 ; 512 ; 789 ; 693 ; 784 ; 461 ; 1.505 
18-Jan;DPK; 541 ; 450 ; 542 ; 287 ; 350 ; 350 ; 375 ; 367 ; 517 ; 1.213 ; 449 ; 548 ; 675 ; 308 ; 224 ; 279 ; 441 ; 978 ; 388 ; 360 ; 270 ; 444 ; 1.110 ; 1.130 ; 512 ; 780 ; 694 ; 786 ; 463 ; 1.503 
19-Jan;DPK; 551 ; 443 ; 544 ; 282 ; 351 ; 350 ; 374 ; 361 ; 519 ; 1.211 ; 449 ; 538 ; 665 ; 308 ; 225 ; 279 ; 438 ; 978 ; 390 ; 361 ; 268 ; 431 ; 1.111 ; 1.128 ; 516 ; 787 ; 720 ; 781 ; 467 ; 1.500 
