UKER;KC Purwakarta;KC Subang;KC Indramayu;KC Jatibarang;KC Pamanukan;KC Sumedang;KC Majalengka;KC Cirebon Gunung Jati;KC Kuningan;KC Cirebon Kartini;KC Singaparna;KC Tasikmalaya;KC Garut;KC Ciamis;KC Banjar;KC Cibadak;KC Sukabumi;KC Cimahi;KC Cianjur;KC Soreang;KC Majalaya;KC Bandung Sukarno Hatta;KC Bandung A.H. Nasution;KC Bandung Dewi Sartika;KC Bandung Setiabudi;KC Bandung Naripan;KC Bandung Kopo;KC Bandung Dago;KC Bandung Martadinata;KC Bandung AA
19-Feb;TABUNGAN; 274 ; 249 ; 346 ; 209 ; 219 ; 240 ; 221 ; 171 ; 332 ; 745 ; 242 ; 383 ; 407 ; 206 ; 135 ; 168 ; 293 ; 500 ; 265 ; 220 ; 208 ; 198 ; 642 ; 769 ; 261 ; 474 ; 170 ; 467 ; 228 ; 930 
20-Feb;TABUNGAN; 275 ; 247 ; 341 ; 209 ; 221 ; 239 ; 220 ; 173 ; 330 ; 754 ; 241 ; 383 ; 408 ; 212 ; 135 ; 168 ; 312 ; 499 ; 263 ; 222 ; 214 ; 197 ; 654 ; 767 ; 273 ; 480 ; 247 ; 471 ; 230 ; 935 
21-Feb;TABUNGAN; 273 ; 247 ; 341 ; 209 ; 218 ; 238 ; 220 ; 171 ; 329 ; 754 ; 241 ; 384 ; 407 ; 210 ; 137 ; 169 ; 311 ; 496 ; 261 ; 221 ; 210 ; 197 ; 650 ; 765 ; 271 ; 485 ; 248 ; 471 ; 228 ; 932 
22-Feb;TABUNGAN; 272 ; 245 ; 340 ; 211 ; 217 ; 238 ; 215 ; 170 ; 329 ; 752 ; 241 ; 386 ; 404 ; 211 ; 136 ; 169 ; 310 ; 495 ; 260 ; 221 ; 208 ; 198 ; 649 ; 765 ; 270 ; 478 ; 247 ; 470 ; 227 ; 931 
23-Feb;TABUNGAN; 270 ; 242 ; 342 ; 216 ; 216 ; 237 ; 216 ; 170 ; 326 ; 756 ; 241 ; 378 ; 405 ; 202 ; 145 ; 169 ; 302 ; 500 ; 261 ; 221 ; 208 ; 196 ; 637 ; 763 ; 264 ; 489 ; 169 ; 464 ; 227 ; 918 
24-Feb;TABUNGAN; 268 ; 241 ; 341 ; 219 ; 215 ; 236 ; 215 ; 174 ; 325 ; 762 ; 239 ; 379 ; 412 ; 207 ; 142 ; 166 ; 306 ; 497 ; 262 ; 217 ; 208 ; 194 ; 633 ; 761 ; 262 ; 493 ; 168 ; 456 ; 226 ; 908 
25-Feb;TABUNGAN; 273 ; 249 ; 347 ; 218 ; 212 ; 237 ; 217 ; 181 ; 323 ; 754 ; 238 ; 376 ; 419 ; 208 ; 136 ; 167 ; 309 ; 503 ; 271 ; 218 ; 206 ; 199 ; 635 ; 759 ; 261 ; 505 ; 170 ; 469 ; 377 ; 927 
26-Feb;TABUNGAN; 277 ; 248 ; 358 ; 218 ; 211 ; 241 ; 216 ; 171 ; 331 ; 755 ; 236 ; 368 ; 416 ; 207 ; 138 ; 167 ; 304 ; 526 ; 262 ; 221 ; 204 ; 204 ; 634 ; 761 ; 264 ; 510 ; 170 ; 477 ; 402 ; 1.006 
27-Feb;TABUNGAN; 283 ; 267 ; 358 ; 212 ; 208 ; 250 ; 225 ; 205 ; 346 ; 784 ; 244 ; 375 ; 418 ; 210 ; 141 ; 168 ; 362 ; 547 ; 278 ; 231 ; 214 ; 314 ; 749 ; 796 ; 266 ; 513 ; 187 ; 562 ; 482 ; 1.065 
28-Feb;TABUNGAN; 280 ; 271 ; 358 ; 210 ; 205 ; 252 ; 224 ; 206 ; 348 ; 789 ; 248 ; 382 ; 420 ; 210 ; 142 ; 175 ; 361 ; 543 ; 289 ; 233 ; 218 ; 316 ; 747 ; 863 ; 265 ; 505 ; 193 ; 562 ; 481 ; 1.049 
